Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-10-08,80.69428606160095,80.69428606160095,80.11769519635781,80.31619262695312,9200,0.0,0.0,0.0
2021-10-11,80.3445448582465,81.53553660125655,80.3445448582465,81.13853454589844,20000,0.0,0.0,0.0
2021-10-12,80.4957964963505,81.99870885122317,80.35401054306192,81.38430786132812,28600,0.0,0.0,0.0
2021-10-13,81.60170003597025,82.42404544405242,81.02510921271185,82.35787963867188,9800,0.0,0.0,0.0
2021-10-14,82.7832541111391,82.87777567908633,82.23501892089844,82.70763397216797,13800,0.0,0.0,0.0
2021-10-15,83.20859250233346,83.20859250233346,82.06486511230469,82.06486511230469,12900,0.0,0.0,0.0
2021-10-18,81.5638957797639,81.64896301636594,81.02511498002035,81.11963653564453,30400,0.0,0.0,0.0
2021-10-19,81.51663567087228,81.74349607010568,80.69429016113281,80.69429016113281,21300,0.0,0.0,0.0
2021-10-20,80.77935963224704,81.60171237622176,80.6281265734492,81.57335662841797,12200,0.0,0.0,0.0
2021-10-21,80.96839814570484,80.96839814570484,79.84357223686867,80.25947570800781,15600,0.0,0.0,0.0
2021-10-22,81.00620472980093,82.10267494551053,81.00620472980093,81.93253326416016,23000,0.0,0.0,0.0
2021-10-25,81.66787365874224,82.21610879096299,81.54498914303572,82.04596710205078,14500,0.0,0.0,0.0
2021-10-26,82.51857432407195,82.51857432407195,81.19525100301135,81.37483978271484,27100,0.0,0.0,0.0
2021-10-27,81.05346398939284,81.05346398939284,79.73014068603516,79.73014068603516,24300,0.0,0.0,0.0
2021-10-28,80.32565251981207,80.82662329058165,80.0515349409596,80.6848373413086,9200,0.0,0.0,0.0
2021-10-29,80.25002595565402,80.25002595565402,79.42767328498397,79.60726928710938,13800,0.0,0.0,0.0
2021-11-01,80.11769099679898,80.85496918937321,80.11769099679898,80.74153900146484,10700,0.0,0.0,0.0
2021-11-02,80.32564988466991,80.32564988466991,79.36151123046875,79.36151123046875,19000,0.0,0.0,0.0
2021-11-03,79.74904646260835,81.76238348285563,79.74904646260835,81.66786193847656,15900,0.0,0.0,0.0
2021-11-04,81.92308219628198,82.1971997610872,81.27087840150104,81.6017074584961,19100,0.0,0.0,0.0
2021-11-05,81.56389612195271,81.84746079001494,81.47882167346133,81.74349212646484,12500,0.0,0.0,0.0
2021-11-08,81.47882156023007,81.76239343943067,81.23306695722417,81.25196838378906,25400,0.0,0.0,0.0
2021-11-09,81.91363520968874,81.91363520968874,81.23306845627428,81.24251556396484,10600,0.0,0.0,0.0
2021-11-10,81.29923693609356,81.66787607103673,80.33509826660156,80.33509826660156,32300,0.0,0.0,0.0
2021-11-11,81.28032314316374,81.63951514733047,81.24251307896029,81.34648895263672,9600,0.0,0.0,0.0
2021-11-12,81.94199151027229,82.22555618509195,81.66787394320711,81.99870300292969,12500,0.0,0.0,0.0
2021-11-15,81.80965642446866,82.23500702446503,81.56389461413201,82.19719696044922,20700,0.0,0.0,0.0
2021-11-16,81.80020376637204,82.63200355701107,81.66787214539612,82.49967193603516,25300,0.0,0.0,0.0
2021-11-17,82.25391282546316,82.70762640625185,82.09322545349886,82.52803039550781,14200,0.0,0.0,0.0
2021-11-18,82.78324497401105,82.78324497401105,82.35788714789696,82.71707916259766,15600,0.0,0.0,0.0
2021-11-19,82.42405018720547,82.7548864446783,81.99869958692942,82.0176010131836,9800,0.0,0.0,0.0
2021-11-22,82.2066500121686,83.09516847401349,82.0743183959192,82.33898162841797,35500,0.0,0.0,0.0
2021-11-23,82.54693481995582,82.57529056514505,82.12157700752014,82.50912475585938,9600,0.0,0.0,0.0
2021-11-24,81.97034131338509,82.5658335777099,81.78129099901301,82.3011703491211,7600,0.0,0.0,0.0
2021-11-26,81.14799326945156,81.15744758858885,80.56195529052498,81.02511596679688,14500,0.0,0.0,0.0
2021-11-29,81.88527576508193,81.88527576508193,81.0062115394632,81.04402160644531,10300,0.0,0.0,0.0
2021-11-30,80.73209198596791,80.73209198596791,78.92669935358991,79.93809509277344,22900,0.0,0.0,0.0
2021-12-01,81.99869730193691,82.83995137168552,80.51468658447266,80.51468658447266,18000,0.0,0.0,0.0
2021-12-02,81.04401496869028,82.5847444230062,81.04401496869028,82.24446105957031,19200,0.0,0.0,0.0
2021-12-03,82.3200757816511,82.6225562993694,81.43156450121718,81.74349212646484,15800,0.0,0.0,0.0
2021-12-06,82.6509127574141,83.36928235858953,82.6509127574141,83.255859375,24500,0.0,0.0,0.0
2021-12-07,84.05930615369607,84.65479847146645,84.05930615369607,84.39958953857422,52000,0.0,0.0,0.0
